name,category,no_grain,dry_matter_pct,energy_mj_per_kg_dm,digestible_protein_g_per_kg_dm,calcium_g_per_kg_dm,phosphorus_g_per_kg_dm,magnesium_g_per_kg_dm,salt_g_per_kg_dm,copper_mg_per_kg_dm,zinc_mg_per_kg_dm,manganese_mg_per_kg_dm,iron_mg_per_kg_dm,selenium_mg_per_kg_dm,starch_g_per_kg_dm,max_g_per_100kg_bw_per_meal,notes
oats,grain,False,87,11.1,86,0.8,3.8,1.3,1.25,4,35,40,80,0.1,400,0.2,"SLU feed table values. High starch - do not use for insulin resistant or laminitic horses. Trace minerals estimated, not SLU-sourced"
barley,grain,False,87,12.6,84,0.5,4.0,1.3,0.75,6,30,18,60,0.1,500,0.15,SLU feed table values. High starch - roll or crush before feeding. Avoid for insulin resistant or laminitic horses. Trace minerals estimated
corn,grain,False,87,13.9,63,0.3,3.1,1.3,0.75,3,25,7,40,0.05,700,0.1,SLU feed table values. Very high starch and energy density - strict per-meal limits. Trace minerals estimated
wheat,grain,False,87,13.1,101,0.3,3.7,1.5,0.75,5,25,25,50,0.1,600,0.15,SLU feed table values. High starch grain. Avoid for insulin resistant or laminitic horses. Trace minerals estimated
wheat_bran,grain,False,87,9.8,120,1.7,12.0,5.3,0.75,14,100,120,100,0.1,300,0.1,SLU feed table values. High phosphorus and starch - use sparingly. High phytate content reduces mineral absorption
sugar_beet_pulp,fiber,True,90,12.8,54,7.0,1.0,1.4,3,8,12,25,200,0.1,20,0.5,SLU feed table values (unmolassed beet fibre). Low starch - excellent fiber and calcium source. Must be soaked before feeding
lucerne_chaff,legume_roughage,True,89,9.0,140,13.5,2.6,2.0,0.75,9,18,30,140,0.2,45,0.4,High protein and calcium - good complement to grass hay low in protein. Acts as roughage
lucerne_pellets,legume_roughage,True,90,9.5,145,14.0,2.8,2.2,0.75,9,18,30,150,0.2,50,0.4,Same nutritional profile as lucerne chaff - pellet form. Needs to be soaked
soybean_meal,protein_supplement,True,87,13.4,448,3.2,7.2,2.6,0.3,15,50,30,120,0.1,30,0.15,"SLU feed table values (Sojamjol, extraherat). Low Ca:P ratio - helps balance high-calcium forages like lucerne. Trace minerals estimated"
potato_protein,protein_supplement,True,90,14.6,761,1.1,4.4,1.1,0.2,10,30,20,60,0.1,20,0.1,SLU feed table values (Potatisprotein). Very high protein density with low calcium - a common ingredient in Swedish compound horse feeds. Trace minerals estimated
field_beans,protein_supplement,True,87,12.8,251,3.4,4.1,1.3,0.3,10,35,25,70,0.1,250,0.2,SLU feed table values (Akerbona). Swedish-grown legume with lower calcium than lucerne - good alternative protein source. Trace minerals estimated
peas,protein_supplement,True,87,12.8,202,0.9,4.3,1.3,0.3,8,30,20,60,0.1,300,0.2,SLU feed table values (Arter). Swedish-grown legume with very low calcium - useful for balancing Ca:P ratio. Trace minerals estimated
rapeseed_meal,protein_supplement,True,94,12.9,264,8.0,11.0,5.0,0.3,12,60,25,80,0.15,60,0.05,SLU feed table values (Raps expeller). Phosphorus-heavy relative to calcium - pair with calcium-rich feeds. Widely used in Swedish compound feeds. Trace minerals estimated
crushed_linseed,oilseed,True,93,16.8,194,2.8,5.7,3.9,1,5,40,45,50,0.3,30,0.1,SLU feed table values (linseed). Rich in omega-3 - good for coat and digestion. Feed crushed for better nutrient absorption
linseed_oil,oil,True,100,34.0,0,0,0,0,0,0,0,0,0,0,0,0.05,Pure omega-3 fat source - use to increase energy density without adding starch or bulk
rapeseed_oil,oil,True,100,34.0,0,0,0,0,0,0,0,0,0,0,0,0.05,Pure fat source - less favorable omega-6/omega-3 ratio than linseed oil but widely available
calcium_carbonate,mineral_supplement,True,100,0,0,380.0,0,0,0,0,0,0,0,0,0,0.03,Pure calcium - use only when calcium is deficient without phosphorus deficiency
magnesium_oxide,mineral_supplement,True,100,0,0,0,0,600.0,0,0,0,0,0,0,0,0.02,Pure magnesium source - use when magnesium is deficient
salt,mineral_supplement,True,100,0,0,0,0,0,975,0,0,0,0,0,0,0.05,Sodium and chloride source - always ensure free access to salt block in addition to ration